N -1.690350 -0.000010 -0.107470 
H -2.121220 -0.814500  0.330359
H -2.120880  0.814720  0.330249
H -0.705201 -0.000190  0.172744
N  1.571702 -0.000014  0.041403
H  1.527968 -0.000827 -0.978218
H  2.125359 -0.815437  0.304312
H  2.124510  0.816402  0.303018
